,0,1,2,3
e192425552,0.0,0.0,0.0,0.0
e148737188,0.0,0.0,0.0,0.0
e33816638,0.0,0.0,0.0,0.0
e192412561,0.0,0.0,0.0,0.0
e29836744,0.0,0.0,0.0,0.0
e180380027,0.0,0.0,0.0,0.0
e192443771,0.0,0.0,0.0,0.0
e192098029,0.0,0.0,0.0,0.0
e19025352,0.0,0.0,0.0,0.0
e42208842,0.0,0.0,0.0,0.0
e192444735,0.0,0.0,0.0,0.0
e180509573,0.0,0.0,0.0,0.0
e180404951,0.0,0.0,0.0,0.0
e192445961,0.0,0.0,0.0,0.0
e149194891,0.0,0.0,0.0,0.0
e192104619,0.0,0.0,0.0,0.0
e180626495,0.0,0.0,0.0,0.0
e182834440,0.0,0.0,0.0,0.0
e192197861,0.0,0.0,0.0,0.0
e192444351,1.0,1.0,1.0,1.0
e149548258,0.0,0.0,0.0,0.0
e7809628,0.0,0.0,0.0,0.0
e192220807,0.0,0.0,0.0,0.0
e192192349,0.0,0.0,0.0,0.0
e151129659,0.0,0.0,0.0,0.0
e180610701,0.0,0.0,0.0,0.0
e192419683,0.0,0.0,0.0,0.0
e192429818,0.0,0.0,0.0,0.0
e149148785,1.0,0.0,0.0,0.0
e179005859,0.0,0.0,0.0,0.0
e170800001,0.0,0.0,0.0,0.0
e192320404,0.0,0.0,0.0,0.0
e10292352,0.0,0.0,0.0,0.0
e192413527,0.0,0.0,0.0,0.0
e180534271,0.0,0.0,0.0,0.0
e148611938,0.0,0.0,0.0,0.0
e192087041,0.0,0.0,0.0,0.0
e180370025,0.0,0.0,0.0,0.0
e149543780,0.0,0.0,0.0,0.0
e180479253,0.0,0.0,0.0,0.0
e180529827,0.0,0.0,0.0,0.0
e192337745,1.0,1.0,1.0,1.0
e180420939,0.0,0.0,0.0,0.0
e149894242,0.0,0.0,0.0,0.0
e144422394,0.0,0.0,0.0,0.0
e150966986,0.0,0.0,0.0,0.0
e192098549180277445,0.0,0.0,0.0,0.0
e180373735180373737,0.0,0.0,0.0,0.0
e192191601,0.0,0.0,0.0,0.0
e35579084,0.0,0.0,0.0,0.0
e150405087,0.0,0.0,0.0,0.0
e172391699149667314,1.0,1.0,0.0,0.0
e192305272,0.0,0.0,0.0,0.0
e188973028,0.0,0.0,0.0,0.0
e180347613,0.0,0.0,0.0,0.0
e180475615,0.0,0.0,0.0,0.0
e40613832,0.0,0.0,0.0,0.0
e192423902,0.0,0.0,0.0,0.0
e192197345,0.0,0.0,0.0,0.0
e192299674,0.0,0.0,0.0,0.0
e192367487,0.0,0.0,0.0,0.0
e192196407,1.0,0.0,0.0,1.0
e180297991147701007,1.0,0.0,0.0,0.0
e180207679,0.0,0.0,1.0,0.0
e145571932149211915180641461,1.0,0.0,1.0,1.0
e192088703,0.0,0.0,0.0,0.0
e180346427151124808,1.0,1.0,1.0,0.0
e4473640192341683192442260139840781192287312,1.0,1.0,1.0,1.0
e149977450,0.0,0.0,0.0,0.0
e180621321180650491,1.0,1.0,1.0,0.0
e149951648,1.0,0.0,0.0,0.0
e180710108,0.0,0.0,0.0,0.0
e192101827,0.0,0.0,0.0,0.0
